"YRQTR","Total Balances ($Billions)","Number of Accounts (Millions)","Total Commitments ($Billions)","Account Balance (Active Accounts Only) (50th percentile)","Account Balance (Active Accounts Only) (75th percentile)","Account Balance (Active Accounts Only) (90th percentile)","Current Credit Limit (50th Percentile)","Current Credit Limit (75th Percentile)","Current Credit Limit (90th Percentile)","Current Credit Score (10th percentile)","Current Credit Score (25th percentile)","Current Credit Score (50th percentile)","Utilization (Active Accounts Only) (50th percentile)","Utilization (Active Accounts Only) (75th percentile)","Utilization (Active Accounts Only) (90th percentile)","Percentage of Accounts with Credit Line Decrease","Percentage of Accounts with Credit Line Increase","30+ Days Past Due Rates: Accounts Based","30+ Days Past Due Rates: Balances Based","60+ Days Past Due Rates: Accounts Based","60+ Days Past Due Rates: Balances Based","90+ Days Past Due Rates: Accounts Based","90+ Days Past Due Rates: Balances Based","Share of Accounts Making the Minimum Payment","Share of Accounts Making Greater Than the Minimum Payment but Less Than the Full Balance","Share of Accounts Making the Full Balance Payment","Revolving Balances Only ($Billions)","Net Charge-Off Rate","Average Purchase APR: General Purpose","Average Purchase APR: Private Label","Total Purchase Volume ($Billions)","Average Purchase Volume by Credit Score Group: <660 Credit Score","Average Purchase Volume by Credit Score Group: 660-719 Credit Score","Average Purchase Volume by Credit Score Group: >=720 Credit Score","Percentage of Accounts Subject to Promotional APR: Percentage APR Accounts"
"2012Q3","$578.17","516.72","$3,002.42","$299","$1,559","$4,400","$3,217","$8,078","$14,666","631","690","760","9.37 %","60.09 %","94.69 %","null","1.14 %","1.44 %","3.19 %","0.95 %","2.30 %","0.66 %","1.67 %","8.76 %","32.55 %","26.12 %","$417.07","4.54 %","16.89 %","23.82 %","$317.06","$251.33","$597.88","$1,239.49","12.74 %"
"2012Q4","$594.64","514.87","$3,000.88","$329","$1,611","$4,448","$3,217","$8,078","$14,666","631","690","760","11.13 %","61.50 %","95.03 %","1.65 %","1.76 %","1.47 %","3.13 %","0.99 %","2.30 %","0.69 %","1.69 %","9.40 %","32.45 %","27.54 %","$463.70","4.27 %","16.86 %","23.82 %","$350.00","$254.30","$598.59","$1,246.87","12.95 %"
"2013Q1","$563.50","512.49","$2,982.44","$273","$1,491","$4,304","$3,217","$8,078","$14,666","631","690","760","8.49 %","57.50 %","93.48 %","2.10 %","1.53 %","1.29 %","2.98 %","0.88 %","2.22 %","0.63 %","1.67 %","8.60 %","33.01 %","28.81 %","$453.09","4.38 %","16.79 %","23.83 %","$327.34","$237.81","$554.89","$1,171.80","12.63 %"
"2013Q2","$571.26","509.52","$2,985.55","$263","$1,445","$4,236","$3,311","$8,078","$14,666","634","692","760","8.00 %","53.58 %","92.24 %","1.95 %","1.48 %","1.27 %","2.97 %","0.85 %","2.27 %","0.60 %","1.79 %","8.37 %","31.89 %","29.45 %","$411.02","4.12 %","16.78 %","23.88 %","$357.88","$298.82","$638.04","$1,281.68","12.62 %"
"2013Q3","$570.57","512.11","$2,983.08","$258","$1,430","$4,212","$3,217","$8,078","$14,666","636","691","759","7.62 %","53.73 %","92.65 %","1.57 %","1.64 %","1.26 %","2.50 %","0.79 %","1.71 %","0.52 %","1.17 %","8.64 %","31.70 %","29.59 %","$405.29","3.65 %","16.76 %","23.93 %","$363.56","$319.54","$678.72","$1,332.23","12.62 %"
"2013Q4","$589.85","517.61","$3,001.48","$290","$1,490","$4,271","$3,217","$7,917","$14,666","635","691","760","9.48 %","55.83 %","93.17 %","1.66 %","2.00 %","1.29 %","2.51 %","0.84 %","1.76 %","0.56 %","1.24 %","8.98 %","31.16 %","28.70 %","$421.94","3.64 %","16.77 %","23.96 %","$375.27","$314.97","$649.34","$1,302.53","13.21 %"
"2014Q1","$560.61","512.85","$2,994.84","$242","$1,387","$4,132","$3,307","$8,078","$14,666","635","691","760","7.12 %","52.22 %","91.55 %","1.81 %","1.73 %","1.10 %","2.37 %","0.72 %","1.67 %","0.49 %","1.20 %","8.23 %","31.97 %","30.12 %","$417.80","3.84 %","16.74 %","23.97 %","$351.05","$291.57","$602.32","$1,227.54","13.16 %"
"2014Q2","$574.52","520.92","$3,008.12","$263","$1,450","$4,192","$3,217","$7,836","$14,577","637","693","761","7.99 %","53.11 %","92.04 %","1.47 %","2.41 %","1.07 %","2.13 %","0.66 %","1.47 %","0.42 %","1.03 %","8.61 %","31.54 %","29.29 %","$418.47","3.64 %","16.80 %","23.98 %","$389.72","$340.86","$669.88","$1,341.08","13.54 %"
"2014Q3","$581.72","511.51","$3,010.98","$279","$1,490","$4,219","$3,441","$8,078","$14,666","636","691","759","8.44 %","55.70 %","93.01 %","1.37 %","2.17 %","1.21 %","2.25 %","0.77 %","1.55 %","0.50 %","1.06 %","9.07 %","31.96 %","28.95 %","$431.23","3.27 %","16.87 %","23.98 %","$396.06","$348.55","$692.93","$1,360.69","14.07 %"
"2014Q4","$607.42","520.83","$3,044.70","$313","$1,551","$4,274","$3,396","$7,917","$14,666","634","690","759","10.36 %","57.39 %","93.42 %","1.35 %","2.63 %","1.27 %","2.28 %","0.82 %","1.60 %","0.55 %","1.12 %","9.38 %","31.66 %","29.08 %","$437.05","3.34 %","16.93 %","24.01 %","$406.98","$345.70","$700.69","$1,383.76","14.54 %"
